Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
33971,991,6.9,1677,11.8,5249,36.8,2982,20.9,1447,10.1,1375,9.6,546,3.8,81.3
33972,749,7.4,1253,12.4,3193,31.6,2146,21.3,980,9.7,1258,12.5,518,5.1,80.2
33973,1215,16.4,1324,17.9,2260,30.5,1425,19.2,387,5.2,628,8.5,173,2.3,65.7
33974,735,6.9,1177,11,3835,35.8,2190,20.5,1242,11.6,1045,9.8,481,4.5,82.1
33976,1137,11.3,1292,12.9,3620,36.1,2152,21.4,738,7.4,865,8.6,231,2.3,75.8
33980,288,2.9,1077,10.7,2825,28.2,2519,25.1,937,9.3,1618,16.1,764,7.6,86.4
33981,226,2.8,483,5.9,3140,38.3,2133,26,653,8,1056,12.9,508,6.2,91.4
33982,544,6.6,871,10.6,2707,33.1,2227,27.2,779,9.5,618,7.6,436,5.3,82.7
33983,507,4.4,706,6.2,3970,34.6,2651,23.1,1396,12.2,1369,11.9,875,7.6,89.4
33990,1175,4.9,1561,6.5,8878,37.1,5387,22.5,2245,9.4,3242,13.6,1427,6,88.6
33991,285,2,597,4.2,4704,33.3,2953,20.9,1652,11.7,2803,19.9,1117,7.9,93.7
33993,444,2.7,880,5.4,5515,34.1,4552,28.1,1632,10.1,1895,11.7,1264,7.8,91.8
34101,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-
34102,454,4.8,420,4.4,1525,16,1747,18.3,597,6.3,2892,30.3,1917,20.1,90.9
34103,514,4.7,345,3.2,1934,17.7,1940,17.8,730,6.7,2882,26.4,2559,23.5,92.1
34104,965,5.1,1518,8.1,6131,32.7,4004,21.3,1403,7.5,2622,14,2133,11.4,86.8
34105,245,1.9,483,3.7,2256,17.2,2569,19.6,1305,10,3708,28.3,2523,19.3,94.4
34108,208,1.5,521,3.7,3187,22.5,2157,15.2,935,6.6,3932,27.7,3235,22.8,94.9
34109,381,2,733,3.9,4216,22.3,3170,16.7,1608,8.5,5601,29.6,3217,17,94.1
34110,434,2.2,498,2.5,4674,23.3,3946,19.7,1758,8.8,4890,24.4,3876,19.3,95.4
34112,1036,4.9,1605,7.6,6863,32.4,4387,20.7,1262,6,3587,16.9,2463,11.6,87.5
34113,1917,13.9,826,6,3946,28.6,2836,20.6,632,4.6,2058,14.9,1582,11.5,80.1
34114,1091,8.6,971,7.7,4023,31.9,2184,17.3,1034,8.2,1980,15.7,1343,10.6,83.7
34116,3623,16.4,2671,12.1,7360,33.3,3312,15,1720,7.8,2264,10.3,1129,5.1,71.5
