Zip_CoDE,less_than_grade_9_est,high_school_non_grad_est,high_school_grad_est,some_college_no_degree_est,associates_degree_est,bachelor_degree_est,grad_or_professional_degree_est,registration_rate,turnout_rate,latitude,longitude,population,num_registered_voters,num_voted,did_not_vote,average_house_value,average_income
32667,54,101,755,417,327,440,480,70%,44%,29.552447,-82.313962,3649,5447,"2,401","3,046","236,200","52,500"
32668,77,170,1319,668,314,206,257,74%,42%,29.254058,-82.52816,6019,6317,"2,661","3,656","153,500","39,277"
32669,77,357,2061,1609,1104,1821,857,70%,43%,29.631327,-82.581421,15554,18531,"8,013","10,518","197,900","69,439"
33541,465,1984,6774,3377,1370,1357,662,75%,41%,28.231478,-82.219326,25278,23848,"9,786","14,062","69,300","39,334"
32176,302,602,3513,2897,1019,2285,1625,73%,43%,29.346048,-81.067604,17730,20777,"9,020","11,757","214,800","46,875"
32054,515,1474,3404,1667,573,498,183,49%,43%,30.031356,-82.38149,10403,11233,"4,839","6,394","108,100","41,566"
32801,304,412,2187,1303,776,3692,1789,,,,,,,,,,
32803,87,295,2169,2230,1669,4872,2808,,,,,,,,,,
32804,196,403,3065,2190,1135,4501,2415,,,,,,,,,,
32805,1316,2352,5057,2579,834,1743,533,,,,,,,,,,
32806,317,1062,5175,3796,2157,4830,2531,,,,,,,,,,
32807,2314,2518,7411,3721,2413,2666,811,,,,,,,,,,
32808,2431,4795,10943,6296,3174,2721,1440,,,,,,,,,,
32809,1812,1795,7011,3474,1437,2097,840,,,,,,,,,,
32810,1058,2124,7561,5322,2743,3704,1112,,,,,,,,,,
32811,1462,2234,7286,5849,2615,3598,1373,,,,,,,,,,
32812,759,1494,7144,5322,3496,5276,2375,,,,,,,,,,
32814,23,112,494,645,459,2100,1704,,,,,,,,,,
32817,607,1525,4860,3831,2437,4938,2410,,,,,,,,,,
32818,2486,3414,10483,6577,3111,4139,1541,,,,,,,,,,
32819,581,850,3424,3795,2164,5637,2780,,,,,,,,,,
32820,318,583,1263,1251,565,1243,769,,,,,,,,,,
32821,266,773,2906,2520,1367,3716,983,,,,,,,,,,
33702,574,1558,6344,4959,2275,4416,2278,,,,,,,,,,
33703,412,1095,4235,3813,1746,4296,2548,,,,,,,,,,
33704,223,404,2214,2200,993,3698,2934,,,,,,,,,,
33705,988,1510,5612,3985,1764,3148,2391,,,,,,,,,,
33809,716,1650,7904,4396,1902,2822,1479,,,,,,,,,,
33810,1338,3100,12342,7027,3515,4134,2019,,,,,,,,,,
33811,635,904,5790,3236,1231,2167,807,,,,,,,,,,
33812,45,518,2136,1884,1113,1781,989,,,,,,,,,,
33813,351,933,6366,4788,2283,6387,3673,,,,,,,,,,
33815,900,1384,4810,1343,600,532,247,,,,,,,,,,
33823,1423,2418,7965,3964,1808,1939,1093,,,,,,,,,,
33946,33,127,629,401,176,428,159,,,,,,,,,,
33947,110,244,2599,1975,697,1324,615,,,,,,,,,,
33948,314,750,4639,3329,1159,1587,1278,,,,,,,,,,
33950,330,920,5187,4220,1535,4010,2419,,,,,,,,,,
33952,772,2442,8725,6140,1831,2390,1470,,,,,,,,,,
33953,88,322,1929,1363,662,660,523,,,,,,,,,,
33954,323,325,2361,1394,734,909,412,,,,,,,,,,
33955,315,1061,2737,2118,727,1397,916,,,,,,,,,,
33956,36,314,836,1022,210,577,377,,,,,,,,,,
33957,24,161,690,961,388,2236,1804,,,,,,,,,,
33960,58,88,217,125,23,67,34,,,,,,,,,,
33965,0,0,0,0,4,0,0,,,,,,,,,,
33966,308,288,1668,1293,811,1785,1040,,,,,,,,,,
33967,1016,1079,4293,3221,1526,3073,1290,,,,,,,,,,
33971,991,1677,5249,2982,1447,1375,546,,,,,,,,,,
33972,749,1253,3193,2146,980,1258,518,,,,,,,,,,
33973,1215,1324,2260,1425,387,628,173,,,,,,,,,,
33983,507,706,3970,2651,1396,1369,875,,,,,,,,,,
33990,1175,1561,8878,5387,2245,3242,1427,,,,,,,,,,
33991,285,597,4704,2953,1652,2803,1117,,,,,,,,,,
34238,103,338,3093,2996,1166,3997,3945,,,,,,,,,,
34239,489,365,2736,2203,911,2942,1830,,,,,,,,,,
34240,245,293,2232,1725,598,1777,1510,,,,,,,,,,
34241,210,358,2745,2286,981,2558,1695,,,,,,,,,,
32658,10,14,66,52,20,11,1,,,,,,,,,,
32680,633,951,3171,1651,507,394,99,,,,,,,,,,
32681,0,0,28,0,0,48,0,,,,,,,,,,
32754,238,683,2603,1848,772,971,524,,,,,,,,,,
32757,1000,1365,5480,4143,1634,3441,2141,,,,,,,,,,
32759,107,282,907,489,160,213,51,,,,,,,,,,
32763,547,1200,6190,4034,1705,2050,721,,,,,,,,,,
32764,78,431,964,561,276,285,97,,,,,,,,,,
32765,743,1097,7070,6533,5652,10640,6246,,,,,,,,,,
32766,270,347,1847,2056,1198,2930,1610,,,,,,,,,,
32767,170,371,983,287,233,44,12,,,,,,,,,,
32771,1099,2475,8895,7402,4197,7074,3301,,,,,,,,,,
32773,850,1218,6665,4502,2856,2744,1005,,,,,,,,,,
32776,607,545,2258,1976,718,1122,825,,,,,,,,,,
32778,592,1244,5906,3594,1502,2059,1211,,,,,,,,,,
32779,192,492,3247,3745,2420,6809,4101,,,,,,,,,,
32780,425,1625,7833,6363,3103,4974,2277,,,,,,,,,,
32784,303,1162,2985,1997,783,599,470,,,,,,,,,,
32789,290,688,2637,2418,1170,5598,4892,,,,,,,,,,
32792,864,1555,8255,8277,3975,8072,4194,,,,,,,,,,
32796,240,1032,5041,3961,2218,2188,1138,,,,,,,,,,
32798,106,170,778,586,113,325,51,,,,,,,,,,
32822,2113,4748,12445,7913,4244,5170,1665,,,,,,,,,,
32824,1589,2073,7606,6624,3451,4764,1477,,,,,,,,,,
32825,1604,2974,8795,8383,4475,8201,3608,,,,,,,,,,
32826,531,939,3148,2105,1774,3256,1695,,,,,,,,,,
32827,58,279,1238,913,573,1520,1436,,,,,,,,,,
32828,1011,1747,6602,7802,4646,11471,5427,,,,,,,,,,
32829,566,813,3280,2507,2125,2570,1967,,,,,,,,,,
32830,0,2,4,0,5,0,0,,,,,,,,,,
32831,321,783,1183,282,138,78,44,,,,,,,,,,
32832,290,322,1678,2505,1423,4436,2339,,,,,,,,,,
32833,102,344,2343,1495,733,857,633,,,,,,,,,,
32835,1110,1497,7256,5369,3217,6787,4391,,,,,,,,,,
32836,322,484,2038,1817,1350,4283,2191,,,,,,,,,,
32837,1461,2112,8520,8169,3564,8309,3953,,,,,,,,,,
32839,2885,4088,10263,7359,2806,5188,1075,,,,,,,,,,
32901,755,1356,5491,4015,1571,3105,1783,,,,,,,,,,
32903,85,242,1983,2250,1049,2899,2141,,,,,,,,,,
32904,306,1247,6106,4188,2422,4125,2497,,,,,,,,,,
32905,641,1603,5366,3862,2199,2102,968,,,,,,,,,,
32907,936,1990,10072,7433,3233,4137,1794,,,,,,,,,,
32908,327,365,2941,1931,805,910,310,,,,,,,,,,
32909,1113,1182,7462,5247,2333,2111,1407,,,,,,,,,,
